Loading C:\Editor Test\famidash\LEVELS\LEVEL DATA\lvlset_HUGE\clubstep.tmx...
Map: 906x40  tiles=36240  sprites=36240
Config: C:\Users\kando\Documents\Famidash Editor\clubstep.tmx.cfg (46 offsets, 0 anchors)
Start: (0, 577)  speed=1  maxFall=0x7  bias=0.50
[BFS] Starting exhaustive BFS exploration (frontier cap=30000)

[BFS] f=173 front=53 dedup=53 deaths=4 Y=[328..562] mode=0 grav=N XΓëê478px pct=3% ms/f=0.5
[BFS] f=174 front=56 dedup=56 deaths=6 Y=[322..569] mode=0 grav=F XΓëê481px pct=3% ms/f=0.5
[BFS] f=175 front=63 dedup=63 deaths=2 Y=[314..549] mode=0 grav=F XΓëê483px pct=3% ms/f=0.5
[BFS] f=176 front=68 dedup=68 deaths=4 Y=[307..556] mode=0 grav=F XΓëê486px pct=3% ms/f=0.5
[BFS] f=177 front=71 dedup=71 deaths=6 Y=[300..562] mode=0 grav=F XΓëê489px pct=3% ms/f=0.5
[BFS] f=178 front=72 dedup=72 deaths=0 Y=[293..569] mode=0 grav=F XΓëê492px pct=3% ms/f=0.5
[BFS] f=179 front=78 dedup=78 deaths=0 Y=[285..576] mode=0 grav=F XΓëê495px pct=3% ms/f=0.5
[BFS] f=180 front=83 dedup=83 deaths=0 Y=[278..577] mode=0 grav=N XΓëê497px pct=3% ms/f=0.5
[BFS] f=181 front=85 dedup=85 deaths=2 Y=[271..571] mode=0 grav=F XΓëê500px pct=3% ms/f=0.6
[BFS] f=182 front=88 dedup=88 deaths=0 Y=[264..567] mode=0 grav=F XΓëê503px pct=3% ms/f=0.6
[BFS] f=183 front=93 dedup=93 deaths=0 Y=[257..562] mode=0 grav=F XΓëê506px pct=3% ms/f=0.6
[BFS] f=184 front=92 dedup=92 deaths=0 Y=[250..567] mode=0 grav=N XΓëê508px pct=3% ms/f=0.6
[BFS] f=185 front=93 dedup=93 deaths=0 Y=[242..574] mode=0 grav=N XΓëê511px pct=3% ms/f=0.6
[BFS] f=186 front=99 dedup=99 deaths=10 Y=[235..567] mode=0 grav=N XΓëê514px pct=3% ms/f=0.6
[BFS] f=200 front=146 dedup=146 deaths=8 Y=[135..572] mode=0 grav=N XΓëê553px pct=3% ms/f=0.6
  Progress: 3%   
[BFS] f=212 front=99 dedup=99 deaths=0 Y=[49..538] mode=0 grav=N XΓëê586px pct=4% ms/f=0.8
[BFS] f=213 front=91 dedup=91 deaths=8 Y=[41..527] mode=0 grav=N XΓëê589px pct=4% ms/f=0.8
[BFS] f=214 front=81 dedup=81 deaths=8 Y=[34..520] mode=0 grav=N XΓëê591px pct=4% ms/f=0.9
[BFS] f=215 front=41 dedup=41 deaths=68 Y=[442..513] mode=0 grav=N XΓëê594px pct=4% ms/f=0.9
[BFS] f=216 front=41 dedup=41 deaths=0 Y=[446..513] mode=0 grav=N XΓëê597px pct=4% ms/f=0.9
[BFS] f=217 front=43 dedup=43 deaths=0 Y=[447..513] mode=0 grav=N XΓëê600px pct=4% ms/f=0.9
[BFS] f=218 front=43 dedup=43 deaths=0 Y=[447..513] mode=0 grav=N XΓëê602px pct=4% ms/f=0.9
[BFS] f=219 front=45 dedup=45 deaths=0 Y=[447..513] mode=0 grav=N XΓëê605px pct=4% ms/f=0.9
[BFS] f=220 front=45 dedup=45 deaths=0 Y=[447..513] mode=0 grav=N XΓëê608px pct=4% ms/f=0.9
[BFS] f=221 front=44 dedup=44 deaths=0 Y=[447..513] mode=0 grav=N XΓëê611px pct=4% ms/f=0.9
[BFS] f=222 front=44 dedup=44 deaths=0 Y=[447..513] mode=0 grav=N XΓëê613px pct=4% ms/f=0.9
[BFS] f=223 front=45 dedup=45 deaths=0 Y=[447..513] mode=0 grav=N XΓëê616px pct=4% ms/f=0.9
[BFS] f=224 front=45 dedup=45 deaths=0 Y=[447..513] mode=0 grav=N XΓëê619px pct=4% ms/f=0.9
[BFS] f=225 front=46 dedup=46 deaths=0 Y=[447..513] mode=0 grav=N XΓëê622px pct=4% ms/f=0.9
[BFS] f=226 front=48 dedup=48 deaths=0 Y=[447..513] mode=0 grav=N XΓëê625px pct=4% ms/f=0.8
