[PF f=338] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=339] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=340] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=341] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=342] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=343] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=344] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=345] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=346] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=347] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=348] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=349] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=350] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=351] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=352] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=353] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=354] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=355] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=356] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
